conversation_id,customer_tweet_id,brand_tweet_id,customer_message,brand_response,created_at,source_tweet_ids
conv_5134,5134,5132,@115821 still don't know if my order has shipped or not.. BUT at least I'm a good person! https://t.co/hzYEL3qL7r,"@116915 I'm sorry for the frustration! We'd love to help but are unable to access your Amazon account via Twitter. You can view the latest tracking information for your order, including if it has shipped, here: https://t.co/Y5jpI9gRhE ^LR",Sun Nov 26 00:17:05 +0000 2017,5134;5132
conv_5159,5219,702959,@115850 I hope there will be a good exchange offer for Oneplus 5 users,"@287911 Considering that One plus 5T in on flash sale, we do not have any information regarding the availability of exchange option. ^KA",Thu Nov 23 17:44:48 +0000 2017,5219;702959
conv_5159,5246,2819256,"@115850 #cheater amazon
cheated rs 8499 as amazon pay balance after holding my amazon account without informing any reason","@547065 As mentioned earlier, kindly reply to email you received from our account specialist team as they are the right point of contact regarding account hold. ^AU",Mon Nov 27 05:04:32 +0000 2017,5246;2819256
conv_5285,5285,5283,@AmazonHelp hey amazon - please help me :( i hVe tried calling and chatting with y’all but keep hitting walls. DM?,"@116923 We'd like to help in any way we can, Juan! I've enabled direct messaging. Without providing personal or account information, please tell us a little more about what's going on. ^FD https://t.co/1XyLaGkcaN",Sun Nov 26 00:03:17 +0000 2017,5285;5283
conv_5323,5324,572412,@116935 The deals not showing up for me...?,@254496 This promotion is only valid for new Amazon Music Unlimited subscribers. Have you tried or subscribed to Music Unlimited in the past? ^KB,Sun Dec 03 04:47:38 +0000 2017,5324;572412
conv_5323,5325,524875,@116935 Unable to find the offer on Amazon app or Music app,@241387 Hello! The eligibility requirements available here: https://t.co/1mIrXAwuMc ^MV,Sat Dec 02 05:38:29 +0000 2017,5325;524875
conv_5806,5805,5804,@117095 @115821 My audiobook hasn’t shipped (but the site still says I’ll get it by 8PM 🙄),@117094 I'm sorry for the wait! Please let us know if it does not arrive by 8PM. We want to make sure you receive the order. ^DD,Tue Oct 31 23:22:05 +0000 2017,5805;5804
conv_8524,8524,8523,@AmazonHelp my original echo some time say things without asking here anything ! This is really wired and creepy and scary!!,"@117497 Hmm, that's strange! Try going to Settings and reviewing your history. From here, you can see what prompted your Echo. ^FD",Tue Oct 31 23:43:44 +0000 2017,8524;8523
conv_8530,8532,8534,@AmazonHelp The last update was on 22nd Oct saying it’s out for delivery.....you can’t tell me it take a over two weeks to deliver https://t.co/iB2HaSBOqk,@117498 It would be best to contact us directly here: https://t.co/JzP7hlA23B and we can look into this further then. ^PK,Wed Nov 01 09:01:24 +0000 2017,8532;8534
conv_9129,9129,9128,@AmazonHelp It looks as though someone has changed the email address linked to my acct &amp; I can no longer log in. Help!,"@117632 We're here to help! Please, reach us phone or e-mail so we can investigate: https://t.co/jzvkhdlrK5 ^EB",Tue Oct 31 23:59:46 +0000 2017,9129;9128
conv_9774,9775,9776,"@AmazonHelp Order date
06-Oct-2017
Order #
406-8895581-1413106
Order total
   3,719.00 (delete it again)","@117789 Please don't provide your order details, as we consider them to be personal info. Our page is visible to the public. (2/2) ^GK",Wed Nov 01 06:13:37 +0000 2017,9775;9776
conv_9779,9780,9782,@AmazonHelp I've returned several things lately and don't want Amazon to think I'm abusing the return policy.,@117790 I understand! Returns can be made as long as they fall under this policy: https://t.co/i3QyGkjfQI. Hope this helps! ^BL,Wed Nov 01 00:31:20 +0000 2017,9780;9782
conv_9781,9781,9779,"I seem to have bad luck in trying to get undamaged books from @115821. Sometimes it's damaged in delivery, but this one was packed this way. https://t.co/HnwtSE7e31","@117790 I'm sorry about the damage, Raymond! Have you explored options for refund/replacement here: https://t.co/Y5jpI9gRhE? ^SH",Wed Nov 01 00:14:56 +0000 2017,9781;9779
conv_9784,9784,9783,"@115821 , #fake I phone 7 received from amazon , India - order ID: amazon India has refused to replace @115850 pictures attach herewith. https://t.co/iYmtFWzE6o","@117791 Please don't provide your details, we consider it personal information. Our Twitter page is visible to public. 2/2 ^MK",Wed Nov 01 00:20:46 +0000 2017,9784;9783
conv_9817,9817,9815,Please explain this @AmazonHelp https://t.co/VJ4d1ii4PH,@117800 I'm sorry it hasn't arrived! We strive to meet the delivery date in your confirmation e-mail. Have we missed that date? ^MO,Tue Oct 31 23:58:58 +0000 2017,9817;9815
conv_9821,9819,9818,@AmazonHelp if thats the case because if I pay for overnight shipping/delivery i expect to get what I paid for.,"@117801 (2/2) If we’ve missed the date in our order confirmation e-mail, please let us know here: https://t.co/hApLpMlfHN! ^WT",Wed Nov 01 00:13:08 +0000 2017,9819;9818
conv_10321,10321,10320,"@AmazonHelp I have a package that is showing as delivered last Friday, however it has not been and there is no note. Thanks",@117870 I'm sorry for any concern this causes! We'd like a chance to look into this with you by phone or chat here: https://t.co/JzP7hlA23B ^WT,Thu Nov 30 20:34:18 +0000 2017,10321;10320
conv_10645,10645,10644,@AmazonHelp did amazon get hacked?,@117949 We'd like to help! Have you noticed any unauthorized activity on your account? ^VB,Wed Nov 01 00:31:14 +0000 2017,10645;10644
conv_11058,11059,11061,@AmazonHelp Should have been today before 8,@118086 Please get in touch with us here: https://t.co/hApLpMlfHN and we'd be happy to review available shipping refund options. ^EZ,Wed Nov 01 00:57:07 +0000 2017,11059;11061
conv_11085,11085,11083,@115821 @AmazonHelp I'm so frustrated w/how things keep changing. Making it hard on POOR people!!! Free isn't free anymore.,"@118091 I'm so sorry to hear this! Without revealing any personal account information, will you provide us with more details? ^LH",Wed Nov 01 00:37:13 +0000 2017,11085;11083
conv_11589,11586,11587,@AmazonHelp Not received any email,@118231 email from our account specialist team regarding the same. Request you to respond to that email for any assistance. 2/2 ^NK,Tue Oct 31 02:52:31 +0000 2017,11586;11587
conv_11604,11605,11606,"@AmazonHelp Carrier: AMZL US, Tracking #: TBA516106123000","@118235 I'd like someone from my team to check into this. When you can, please drop your details here: https://t.co/jNvrqbIPwn ^BL",Wed Nov 01 01:38:00 +0000 2017,11605;11606
conv_11624,11624,11622,@AmazonHelp AMZL US,@117955 Please provide your details here: https://t.co/zUIZ61Nac2 and my team will escalate to Amazon Logistics. ^EZ,Wed Nov 01 00:57:35 +0000 2017,11624;11622
conv_11976,11976,11975,Seriously @115821 what is up with ordering things and it being open?  You guys shipping returned items.  2nd day in a row this happens :SMH: https://t.co/gMyT1z9Zu1,@118355 We do not want this to happen and are eager to help. Reach out to us for more assistance here: https://t.co/hApLpMlfHN ^LM,Wed Nov 01 01:06:19 +0000 2017,11976;11975
conv_11983,11984,11985,@AmazonHelp It's point less to actually fill this form.Since you always give me those replies with I'll personally follow up and stuff..,@118356 details through the link provided above so that we can look into the issue. 2/2 ^SH,Wed Nov 01 03:01:38 +0000 2017,11984;11985
conv_12549,12557,931544,@115850 This is with reference to Order ID 171-6312606-0365905 where it shows Amazon is purchasing products from other portals like ebay and selling,"@118505 I'm sorry, please fill this form: https://t.co/beaaDm0muc and we'll get back to you right away. (1/2) ^SI",Sat Oct 28 10:11:47 +0000 2017,12557;931544
conv_12549,12561,1561156,@115850 I orderd a prodct and prepaid for it n it ws  GIFT N It got canclled without any info.Nw I m gonna struggle for my money .this is pathetic,@64034 The product reaches the fulfillment center there would be an auto refund initiated to your account. 2/2 ^SB,Sat Nov 04 09:09:18 +0000 2017,12561;1561156
conv_13147,13149,13150,@AmazonHelp asm mentioned before. You all are just idiots.,@118701 Thanks for replying. We'll get in touch with you soon. Appreciate your understanding. ^AK,Wed Nov 01 06:14:52 +0000 2017,13149;13150
conv_13189,13189,13187,"Hi @AmazonHelp, I’ve purchased something via your app and it’s broken! How can I get it replaced?","@118710 Hi, Reece! I'm sorry about the broken item. You can check into options here: https://t.co/Ueduyt85xq ^BL",Wed Nov 01 01:44:51 +0000 2017,13189;13187
conv_13874,13866,13863,"@AmazonHelp so after wasting more than 1.5 month, now you are telling me the product is out of warranty. i had gone to iball 1.5 months back .","@118918 Apologies for the experience, Vijay. Please reply to the email sent by our team. We'll help you with alternatives. ^SV",Wed Nov 01 02:19:15 +0000 2017,13866;13863
conv_13908,13907,13906,@AmazonHelp Update ??? What your internal investigation repors tell you ??,"@118924 Sorry for this trouble. If the details were shared, you must've received a correspondence from us. Please check and reply. ^HD",Wed Nov 01 02:05:44 +0000 2017,13907;13906
conv_13919,13919,13915,"@117634 I ordered the Oasis, my order status showed it was to be delivered today and it did not come. Very disappointed.","@118925 Oh no, Kathleen! We want to help. Is there an updated delivery date showing here: https://t.co/Y5jpI9gRhE ^LA",Wed Nov 01 02:04:40 +0000 2017,13919;13915
conv_14855,14855,14852,@115821 407-8406190-7752345. i want refund amount -1399/- amazon seller was lying. amazon custamare care side also.,"@119214 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^SC",Wed Nov 01 02:33:42 +0000 2017,14855;14852
conv_15286,15286,15285,@115821 I ordered a ghilie suit with one day shipping for Halloween 3 days ago and guess what can’t do anything now because I don’t have it,@119354 I'm sorry your suit didn't arrive before Halloween. Did we miss the delivery date shown here: https://t.co/Y5jpI9gRhE? ^EA,Wed Nov 01 02:28:01 +0000 2017,15286;15285
conv_15288,15292,52206,"@118919 @119356 Delivery date 1Nov hai Aur Abhi tak Delivery nahi kiya hai ||Gati courier|| Godda, jharkhand my amazon id __email__","@119355 Please don't provide your order details, we consider it personal info. Our Twitter page is visible to public. ^NR 2/2",Wed Nov 01 18:19:36 +0000 2017,15292;52206
conv_15298,15299,15300,@AmazonHelp I have replied to the email... lets see if I can get positive and useful response atleast once after so much escalation @115851,@119358 Thank you for confirming. You should hear an update from us soon. Keep an eye on your mailbox. ^MP,Wed Nov 01 17:56:10 +0000 2017,15299;15300
conv_15306,15306,15305,"Hi @AmazonHelp, when I placed my order I requested a VAT receipt either via email or post but I still haven’t had one?","@118710 I'm sorry for the inconvenience.  Please see here: https://t.co/3gp9Udo7j5, for more info on accessing your invoice. ^LM",Wed Nov 01 01:45:36 +0000 2017,15306;15305
conv_15678,15678,15677,"Dear #Amazon @115821 @115850 #GlobalStore. 50 days, No delivery, No response. https://t.co/R1KcEpWHvq",@119448 get back to you on this. 2/2 ^SH,Wed Nov 01 03:03:21 +0000 2017,15678;15677
conv_15691,15686,15684,"@AmazonHelp Order no - 403-7559101-5645129 
Return reference - 710398288491
Article name - puma shoes","@119451 number. Also, please don't provide order details, we consider it to be personal info. Our page is visible to the public.(2/2)^SF",Wed Nov 01 02:56:50 +0000 2017,15686;15684
conv_15697,15694,15693,@AmazonHelp How many times will the pick-up be rescheduled? https://t.co/oQuGBF84QS,"@119452 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^AK 3/3",Wed Nov 01 02:58:27 +0000 2017,15694;15693
conv_16101,16101,16100,Thanks @AmazonHelp for solving my issue . But after 8 day it's really long time you took to solve . But #thanks,@119532 Thanks for keeping us posted. I'll pass along your comments to our team and we'll work on this. ^GK,Wed Nov 01 03:39:13 +0000 2017,16101;16100
conv_16108,16109,16111,@AmazonHelp My order is due to arrive on Friday,@119534 Orders can ship at any time; once the order has been processed it will be assigned a tracking number. ^LR,Wed Nov 01 03:39:27 +0000 2017,16109;16111
conv_16456,16454,16452,@119625 @1092 Please upload jaya janaki nayaka full movie bro or balakrishna paisa vasool movie bro,@119624 where we highlight the latest movies and TV shows we have available. (2/2)^SF,Wed Nov 01 03:21:19 +0000 2017,16454;16452
conv_16755,16757,16759,@AmazonHelp No one knows what to do to get my refund back to me! https://t.co/q71Ycboikm,"@119697 I'm sorry for the trouble. Generally, the bank can issue a refund to the new active card on file. Please keep us updated. ^LR",Wed Nov 01 04:19:56 +0000 2017,16757;16759
conv_16758,16758,16755,@AmazonHelp fuck you guys. Canceling Prime. Not gonna do business with you guys ever again.,"@119697 This isn't how we want you to feel. We'd like to help, if possible. Please let us know more about what's going. ^BH",Wed Nov 01 04:07:06 +0000 2017,16758;16755
conv_16783,16782,16781,"@AmazonHelp How much more time is needed?
I think everything is online..
Is ur seller not responding? Or approval is needed from any ministry?",@119700 Did you receive our email on your revert? ^HK,Tue Oct 24 11:03:26 +0000 2017,16782;16781
conv_16802,16805,16806,@AmazonHelp Amazon its a complete fraud now u are saying u will ship till 7th please for god sake #help #cancelorder #refund #fraud #poorcustomerservice https://t.co/riuEM7g6om,@119701 Could you please let us know if you had received any email stating the package was  going to be shipped by 7th ? ^KS,Thu Nov 02 18:46:53 +0000 2017,16805;16806
conv_16814,16815,16816,@AmazonHelp Guyzzz i have not received any mail have some common sense if i would i have received it why the f*** i would hav not replied #CommonSense,"@119701 In that case, please fill in the form again here: https://t.co/GIJyeYqKE0 and we'll reach out to you. ^VN",Fri Nov 03 17:56:14 +0000 2017,16815;16816
conv_16816,16817,16818,@AmazonHelp When will i be getting a refund of this product #help #pleasebesensable https://t.co/gGgeU6tmhP,@119701 Our team has sent you a correspondence. Kindly check it here: https://t.co/8DAc10S7ww ^AP,Tue Nov 07 09:14:30 +0000 2017,16817;16818
conv_16861,16859,16856,@AmazonHelp Stop asking non sense. it's been mid of the day providing hell of details but no response yet. Not even Surya Flames responded #JeffBezos,@119703 email correspondence from our team. Kindly check the same and revert. 2/2 ^MM,Thu Oct 19 07:42:03 +0000 2017,16859;16856
conv_17254,17254,17253,.@115850 will Echo help in playing Antakshari or if we could play same with her? :P #pp,"@119797 You can ask Alexa, and it would play the song for you :) ^KA",Wed Nov 01 03:52:10 +0000 2017,17254;17253
conv_17261,17260,17259,"@AmazonHelp apologies only dnt work. why last tim i was gvn assurance tht i wont repeat and now it happened again, whts your excuse now?",@119798 I’m sorry for the hassle. Please drop in your details here: https://t.co/GIJyeYqKE0 We will look into it. ^SB,Fri Oct 20 11:38:45 +0000 2017,17260;17259
conv_17266,17266,17264,@116618 I'm having problems watching. Its always freezing or buffering.,@119799 We want to help but we need more information. Can you tell us more about what device you're using? ^EA,Wed Nov 01 03:59:42 +0000 2017,17266;17264
conv_17640,17639,17638,@AmazonHelp It is a doorstep pick up but I need to bear the charges for the courier while I am struggling to get a refund for the already paid order,@119902 Was a pick up arranged on your order or were you asked to self-return it? Please tell us more. ^HK,Wed Nov 01 04:41:59 +0000 2017,17639;17638
conv_17681,17682,17683,"@AmazonHelp Oh you are so considerate, then why can't you treat the orders you take with same consideration, #Awful customer service",@119907 We'd like to help with that. Kindly drop in your details using the link provided above and we'll reach out to you. ^AB,Wed Nov 01 05:15:25 +0000 2017,17682;17683
conv_17888,17889,17891,@AmazonHelp Yes. Once from the original date,@119969 What is the current delivery date? Has this passed? ^CL,Wed Nov 01 05:50:51 +0000 2017,17889;17891
conv_17900,17900,17898,Hey @115851 unpredictable delivery processes r killing Amazon experience in India. Loyal customers like me are dissatisfied. DO SOMETHING,@119628 have reported the issue to our support team here:  https://t.co/EatWZQxM6E? 2/2 ^SH,Wed Nov 01 04:57:16 +0000 2017,17900;17898
conv_17901,17903,17904,"@AmazonHelp Got it just now about 4 hours after it was supposedly delivered. As I said, unpredictable and non-trustworthy delivery process",@119628 Thanks for keeping us posted. I'll be sure to share your comments on this as feedback with the team internally. ^AB,Wed Nov 01 07:13:03 +0000 2017,17903;17904
conv_18141,18143,18144,@AmazonHelp If nothing happens then I will put on FB also,@120032 here: https://t.co/beaaDm0muc and we'll reach out to you. (2/2) ^GK,Wed Nov 01 06:21:19 +0000 2017,18143;18144
conv_18186,18187,18189,"@AmazonHelp They have promised me that my cashback of INR 1500 will be received by 5th November, hope this doesn't repeat in future. Thanks #AmazonIndia","@120039 I get your concern, Abhilash. Cash back shall be processed as per the timelines shared with you. Rest assured. ^SV",Wed Nov 01 19:17:55 +0000 2017,18187;18189
conv_18391,18383,18381,@AmazonHelp Placed the order on 30th October and I am getting it on 2nd November,@120086 Orders placed with us are basically shipped and delivered as per the estimates shared. Kindly let us know if there was a miss. ^AB,Wed Nov 01 05:36:05 +0000 2017,18383;18381
conv_18385,18387,18388,@AmazonHelp I rather not take prime then and use the normal service as I don’t see any diff or advantages,@120086 prime customers will receive free standard delivery. (2/2) ^VM,Wed Nov 01 06:03:49 +0000 2017,18387;18388
conv_18392,18392,18391,@115850  what’s the use of amazon prime membership if the product reaches me after 2 days of placing the order .. al false promises,@120086 Prime subscribers are eligible to get free One-day or Two-day shipping. May I please know if the package was 1/2 ^SH,Wed Nov 01 05:21:28 +0000 2017,18392;18391
conv_18409,18410,18412,@AmazonHelp Hahaha. Reported multiple times...even spoke to ur so called customer service.. no help...,@120092 I get your disappointment. I’d like to help you; please fill this form: https://t.co/beaaDm0muc and I’ll contact you soon. ^SC,Wed Nov 01 05:33:20 +0000 2017,18410;18412
conv_18679,18679,18678,"@115821  
Amazon truck damaged my lawn my lawn .Love Amazon . So sad no one called me back today as promised! Why?",@120166 Please send us your details here: https://t.co/PJ1sPeuPfz so we can look into this for you. ^LI,Mon Sep 18 23:34:35 +0000 2017,18679;18678
conv_18707,18708,18710,@AmazonHelp Also when will Amazon prime music be available for Indian users of Alexa?,"@120174 In order to stream music from Amazon Prime Music on the echo devices, the customer has to be an Amazon Prime member. 2/2^AR",Wed Nov 01 05:54:36 +0000 2017,18708;18710
conv_18901,18901,18900,@115850 .. worst kind of service giving to his customers.. I have a purchased a boss washing machine.. waiting so long ..🤔,@120225 we have missed on the estimated delivery date ? 2/2 ^SB,Sat Oct 28 09:25:31 +0000 2017,18901;18900
conv_18904,18904,18903,"Dear @115850  my order #407-7208892-2195534 is suppose to deliver by 31 Oct 2017...
Still not received...",@120226 I’m sorry about the issue you’re facing with delivery. Let us look into it. (1/3)^HR,Wed Nov 01 05:54:03 +0000 2017,18904;18903
conv_18927,18929,18930,@AmazonHelp You people always escalated issue and for another 24 hours.kindly do something substantial.still issue is unresolved. such a poor service.,@120227 Our team is currently working on your issue and will be resolved at the earliest. (1/2)^AU,Tue Nov 07 07:46:58 +0000 2017,18929;18930
conv_18935,18936,18937,@AmazonHelp When u will be get back with update???,@120227 I get you being upset. As mentioned earlier we will get back to you at the earliest possible. ^JS,Wed Nov 08 15:24:53 +0000 2017,18936;18937
conv_18947,18949,18950,"@AmazonHelp Yes you missed it completely and made a blunder.
Call me on 9140560819 for more understanding","@120228 Please don't provide your account details, as we consider it to be personal information. Our Twitter page is public.​ ^RW",Wed Nov 01 06:11:02 +0000 2017,18949;18950
conv_18956,18957,18958,@AmazonHelp I need a proper compensation and full refund of my order. Contact me on 9140560819 for any other detail.,"@120228 Please don't provide your details, we consider it to be personal information. Our page is visible to the public. 2/2^SC",Fri Nov 03 06:29:13 +0000 2017,18957;18958
conv_18963,18964,18966,@AmazonHelp Then how should I reach you for assistance,"@120229 You have reached out to us by tweeting. As we cannot check your order details here, kindly connect with our support team. ^RW",Wed Nov 01 06:10:16 +0000 2017,18964;18966
conv_18985,18985,18984,@115821 again acted as disappoiment and spoiler. This is 2nd time when delivery of order was confirmed on call and then it was canceled,@120232 I apologize for this. May I know if you've connected with our support team regarding this? ^SK,Tue Oct 31 14:38:59 +0000 2017,18985;18984
conv_19107,19108,19110,"@AmazonHelp Not Amazon customer service, that’s what’s down. Way down.",@120259 Sorry to hear that you feel this way. Please report it to an agent with access to your acc here: https://t.co/hApLpMlfHN.^JJ,Wed Nov 01 06:49:39 +0000 2017,19108;19110
conv_19116,19117,19119,@AmazonHelp i know but i call all courier serviece they people cant home pick up so please arrange from your hand.,@120261 Kindly revert to our email correspondence with further query on this and we'll be happy to take it over from there. ^AB,Wed Nov 01 07:02:40 +0000 2017,19117;19119
conv_19120,19118,19116,@AmazonHelp can u ready for return pick up i receive damage product,"@120261 You must have received a correspondence from our team, request you to check the same. ^SH",Wed Nov 01 06:11:23 +0000 2017,19118;19116
conv_19126,19125,19124,@AmazonHelp I already call your linked courier service they all not ready for home pick up and some courier service cha rges is very high,"@120261 As informed earlier, request you to respond to the email you've received from our team for further assistance. ^SU",Tue Oct 31 13:34:51 +0000 2017,19125;19124
conv_19133,19132,19131,@AmazonHelp Its not my issue for return pick up. U people not mention any where before purchase product otherwise i think about purchase this order.,"@120261 I understand that you're upset, Dharmesh. Could you confirm, submitting your details using the link shared earlier? ^MP",Tue Oct 31 11:09:01 +0000 2017,19132;19131
conv_19133,19135,2664071,@AmazonHelp I had allready this one but u total helpless.if you not possible pick up your hand then i cant returns my damage product.,@120261 Kindly fill in your details here: https://t.co/beaaDm0muc and we'll get in touch with you with an update. ^AU,Tue Oct 31 08:16:35 +0000 2017,19135;2664071
conv_19137,19141,735628,@115850 I am a prime member but i can't get product so fast..,@295977 Could you help us with the product link &amp; pin-code? We'll be glad to check this for you. 2/2 ^MJ,Sun Oct 29 06:08:16 +0000 2017,19141;735628
conv_19137,19145,2349826,"@115850 #amazonIN delvrd a Deffective piece and now they are denying for a refund
They just know how to get money &amp; send soaps &amp; defective product",@679211 Please fill in your details using the link: https://t.co/JzRdscmdH9 and I'll get in touch with you soon. ^AK (2/2),Sun Oct 29 07:20:05 +0000 2017,19145;2349826
conv_19137,19150,2435288,@115850 Hi! Trying to subscribe for Prime but every time stuck after posting details for payment. Says continue but asks payment details again!,@698741 Apologies that your payment wasn't successful. Have you reported this to our support team here: https://t.co/vlvfJr4nN9 ^RB,Sun Oct 29 13:49:03 +0000 2017,19150;2435288
conv_19137,19164,2310218,@115850 I m not getting the fast delivery even i m prime member but don't get 1&amp;2 days delivery ....,@670021 Guaranteed delivery is only offered to select cities and available on eligible items.  1/2 ^AH,Sun Oct 29 06:07:43 +0000 2017,19164;2310218
conv_19137,19174,2420304,@115850 It's fake.After subscribing to Amazon Prime not even single product is available for one day delivery.Totally cheating.,"@695258 Further, please let us know if we happen to miss the estimates on any order. We'll be glad to help. ^VN (2/2)",Sun Oct 29 12:43:00 +0000 2017,19174;2420304
conv_19137,19178,2438180,"@115850 Received defective piece ,now they are hesitating for pickup.","@699380 If not, contact us here: https://t.co/vlvfJr4nN9 so we can assist you.(2/2) ^PJ",Sun Oct 29 16:01:53 +0000 2017,19178;2438180
conv_19137,19182,2662548,@115850 Bullshit you never deliver prepaid orders on time. And the ones having COD tend to arrive before time.,@750390 That's unusual. Have you reached out to our support team here: https://t.co/2t6DQoUmNZ for assistance? ^RW,Tue Oct 31 05:57:20 +0000 2017,19182;2662548
conv_19188,19185,19183,"@115821 For now please just tend to my new orders I just https://t.co/n5enuyETJb are those 300,000 pairs of gloves selling?",@120230 We can't see your orders from here unfortunately but if you use the link ^JJ sent we can help :) ^AS,Wed Nov 01 06:04:42 +0000 2017,19185;19183
conv_19204,19199,19197,@AmazonHelp problem not resolved yet...high time now,@120264 Please fill in your details using the link: https://t.co/JzRdscmdH9 and I'll get in touch with you soon. ^AK (2/2),Wed Nov 01 06:06:33 +0000 2017,19199;19197
